s	t	w
id1	id2	1
id1	id3	1
id1	id4	0
id1	id5	1
id3	id6	1
id3	id7	1
id3	id8	1
id3	id9	1
id3	id10	0
id3	id11	0
id3	id4	0
id6	id3	1
id6	id12	1
id6	id9	1
id6	id13	0
id6	id11	0
id6	id14	0
id15	id3	1
id15	id6	1
id15	id16	1
id15	id17	0
id15	id5	0
id18	id3	1
id18	id19	1
id18	id2	1
id18	id5	0
id18	id20	0
id18	id21	0
id22	id23	1
id22	id24	1
id22	id3	1
id22	id25	1
id22	id17	0
id8	id3	1
id8	id6	1
id8	id13	0
id8	id11	0
id26	id104	1
id26	id6	1
id26	id89	1
id26	id107	0
id77	id28	1
id77	id3	1
id77	id6	1
id77	id29	1
id77	id30	1
id77	id4	0
id31	id32	1
id31	id19	1
id31	id3	1
id31	id6	1
id31	id27	0
id31	id33	0
id34	id35	1
id34	id36	1
id34	id37	1
id34	id77	0
id38	id39	1
id38	id40	1
id38	id41	1
id38	id42	1
id38	id43	1
id38	id44	1
id38	id45	0
id44	id38	1
id44	id40	1
id44	id41	1
id44	id43	1
id44	id39	0
id44	id45	0
id42	id34	1
id42	id46	1
id42	id69	0
id42	id47	0
id48	id1	1
id48	id20	0
id49	id48	1
id49	id1	1
id49	id20	0
id49	id50	0
id50	id2	1
id50	id49	1
id50	id51	1
id50	id20	0
id52	id49	1
id52	id1	1
id52	id50	0
id52	id20	0
id51	id50	1
id51	id49	1
id51	id1	1
id53	id54	1
id53	id55	1
id53	id56	1
id53	id57	0
id54	id53	1
id54	id55	1
id54	id58	1
id54	id50	1
id54	id28	1
id59	id94	1
id59	id60	1
id59	id100	1
id59	id54	1
id61	id62	1
id61	id63	1
id61	id3	1
id61	id6	1
id61	id64	0
id61	id65	0
id66	id3	1
id66	id6	1
id66	id67	1
id66	id68	1
id66	id69	0
id66	id70	0
id40	id3	1
id40	id6	1
id40	id38	1
id40	id44	1
id40	id71	0
id40	id72	0
id40	id73	0
id16	id74	1
id16	id18	1
id16	id76	1
id16	id3	1
id16	id77	0
id16	id78	0
id16	id79	0
id80	id3	1
id80	id6	1
id80	id81	1
